Filename,Width,Height,Roi.X1,Roi.Y1,Roi.X2,Roi.Y2,ClassId
frame0000.jpg,640,480,544,124,641,221,101
frame0000.jpg,640,480,457,219,477,243,101
frame0000.jpg,640,480,379,215,397,236,4
frame0000.jpg,640,480,498,229,536,287,115
frame0000.jpg,640,480,354,246,380,277,38
frame0000.jpg,640,480,391,242,408,263,38
frame0001.jpg,640,480,544,124,640,221,101
frame0001.jpg,640,480,457,219,477,243,101
frame0001.jpg,640,480,379,215,397,236,4
frame0001.jpg,640,480,498,229,536,287,115
frame0001.jpg,640,480,354,246,380,277,38
frame0001.jpg,640,480,391,242,408,263,38
frame0002.jpg,640,480,544,124,640,221,101
frame0002.jpg,640,480,457,219,477,243,101
frame0002.jpg,640,480,379,215,397,236,4
frame0002.jpg,640,480,498,229,536,287,115
frame0002.jpg,640,480,354,246,380,277,38
frame0002.jpg,640,480,391,242,408,263,38
frame0003.jpg,640,480,544,124,640,221,101
frame0003.jpg,640,480,457,219,477,243,101
frame0003.jpg,640,480,379,215,397,236,4
frame0003.jpg,640,480,498,229,536,287,115
frame0003.jpg,640,480,354,246,380,277,38
frame0003.jpg,640,480,391,242,408,263,38
frame0004.jpg,640,480,544,124,640,221,101
frame0004.jpg,640,480,457,219,477,243,101
frame0004.jpg,640,480,379,215,397,236,4
frame0004.jpg,640,480,498,229,536,287,115
frame0004.jpg,640,480,354,246,380,277,38
frame0004.jpg,640,480,391,242,408,263,38
frame0005.jpg,640,480,544,124,640,221,101
frame0005.jpg,640,480,457,219,477,243,101
frame0005.jpg,640,480,379,215,397,236,4
frame0005.jpg,640,480,498,229,536,287,115
frame0005.jpg,640,480,354,246,380,277,38
frame0005.jpg,640,480,391,242,408,263,38
frame0006.jpg,640,480,544,124,640,221,101
frame0006.jpg,640,480,457,219,477,243,101
frame0006.jpg,640,480,379,215,397,236,4
frame0006.jpg,640,480,498,229,536,287,115
frame0006.jpg,640,480,354,246,380,277,38
frame0006.jpg,640,480,391,242,408,263,38
frame0007.jpg,640,480,544,124,640,221,101
frame0007.jpg,640,480,457,219,477,243,101
frame0007.jpg,640,480,379,215,397,236,4
frame0007.jpg,640,480,498,229,536,287,115
frame0007.jpg,640,480,354,246,380,277,38
frame0007.jpg,640,480,391,242,408,263,38
frame0008.jpg,640,480,544,124,640,221,101
frame0008.jpg,640,480,457,219,477,243,101
frame0008.jpg,640,480,379,215,397,236,4
frame0008.jpg,640,480,498,229,536,287,115
frame0008.jpg,640,480,354,246,380,277,38
frame0008.jpg,640,480,391,242,408,263,38
frame0009.jpg,640,480,544,124,640,221,101
frame0009.jpg,640,480,457,219,477,243,101
frame0009.jpg,640,480,379,215,397,236,4
frame0009.jpg,640,480,498,229,536,287,115
frame0009.jpg,640,480,354,246,380,277,38
frame0009.jpg,640,480,391,242,408,263,38
frame0010.jpg,640,480,544,124,640,221,101
frame0010.jpg,640,480,457,219,477,243,101
frame0010.jpg,640,480,379,215,397,236,4
frame0010.jpg,640,480,498,229,536,287,115
